brand,website,niche,google_rank,indexed,sitemap,schema_count,blog_posts,ai_cited_chatgpt,ai_cited_perplexity,seo_score,geo_score,leak,found_at,day_found
SEO_Brand_2779,seobrand2779.com,D2C,Page 2,52%,No,0,11,No,No,8,8,No FAQ schema,2026-09-10T09:38:09.021467,2
SEO_Brand_2061,seobrand2061.com,Clinic,Page 3,45%,No,0,13,No,No,10,10,No sitemap,2026-09-10T09:38:09.021468,2
SEO_Brand_2802,seobrand2802.com,Real Estate,Page 3,21%,Yes but blocked,2,5,No,No,7,9,No sitemap,2026-09-10T09:38:09.021470,2
SEO_Brand_2922,seobrand2922.com,Real Estate,Page 2,45%,No,2,9,No,No,8,9,Not cited in AI,2026-09-10T09:38:09.021471,2
SEO_Brand_2982,seobrand2982.com,Real Estate,Page 2,50%,Yes but blocked,2,12,No,No,7,8,Not cited in AI,2026-09-10T09:38:09.021472,2
SEO_Brand_2483,seobrand2483.com,Coach,Page 2,40%,No,1,0,No,No,6,9,Thin blog,2026-09-10T09:38:09.021473,2
SEO_Brand_0946,seobrand0946.com,Coach,Page 2,25%,No,1,8,No,No,9,9,No sitemap,2026-09-10T09:38:09.021474,2
SEO_Brand_1728,seobrand1728.com,Clinic,Page 2,45%,No,0,12,No,No,7,7,No sitemap,2026-09-10T09:38:09.021476,2
SEO_Brand_2087,seobrand2087.com,Real Estate,Page 2,50%,Yes but blocked,2,2,No,No,8,10,No FAQ schema,2026-09-10T09:38:09.021477,2
SEO_Brand_0305,seobrand0305.com,Coach,Page 3,39%,Yes but blocked,1,8,No,No,8,10,No FAQ schema,2026-09-10T09:38:09.021478,2
SEO_Brand_0023,seobrand0023.com,Real Estate,Page 2,20%,Yes but blocked,2,3,No,No,10,7,No FAQ schema,2026-09-10T09:38:09.021481,2
SEO_Brand_2133,seobrand2133.com,Real Estate,Page 2,47%,No,2,15,No,No,6,9,Thin blog,2026-09-10T09:38:09.021483,2
SEO_Brand_1741,seobrand1741.com,Coach,Page 3,44%,Yes but blocked,1,1,No,No,9,10,No FAQ schema,2026-09-10T09:38:09.021486,2
SEO_Brand_1299,seobrand1299.com,Real Estate,Page 3,35%,Yes but blocked,1,13,No,No,6,7,No sitemap,2026-09-10T09:38:09.021487,2
SEO_Brand_2181,seobrand2181.com,D2C,Page 2,36%,No,2,9,No,No,10,10,No sitemap,2026-09-10T09:38:09.021489,2
SEO_Brand_1723,seobrand1723.com,Coach,Page 3,35%,Yes but blocked,1,9,No,No,9,10,Not cited in AI,2026-09-10T09:38:09.021490,2
SEO_Brand_1517,seobrand1517.com,Clinic,Page 3,51%,No,2,9,No,No,6,8,Thin blog,2026-09-10T09:38:09.021491,2
SEO_Brand_2184,seobrand2184.com,D2C,Page 2,46%,No,2,5,No,No,7,10,No sitemap,2026-09-10T09:38:09.021492,2
SEO_Brand_2049,seobrand2049.com,D2C,Page 3,27%,Yes but blocked,1,6,No,No,9,10,Not cited in AI,2026-09-10T09:38:09.021494,2
SEO_Brand_1539,seobrand1539.com,D2C,Page 3,36%,Yes but blocked,0,7,No,No,7,10,Thin blog,2026-09-10T09:38:09.021495,2
SEO_Brand_2621,seobrand2621.com,Coach,Page 2,29%,No,1,5,No,No,8,9,No FAQ schema,2026-09-10T09:38:09.021496,2
SEO_Brand_2371,seobrand2371.com,Clinic,Page 2,29%,No,2,8,No,No,8,8,No FAQ schema,2026-09-10T09:38:09.021497,2
SEO_Brand_2025,seobrand2025.com,D2C,Page 3,43%,Yes but blocked,0,8,No,No,6,8,Not cited in AI,2026-09-10T09:38:09.021500,2
SEO_Brand_1339,seobrand1339.com,D2C,Page 2,23%,No,2,4,No,No,10,10,No FAQ schema,2026-09-10T09:38:09.021501,2
